id,claim_or_use,source_title,publisher,source_type,url,status,claim_class,article_section,notes
S13,Devo band history and Mothersbaugh membership,ClubDevo official archive,Devo,first-party,https://clubdevo.com/,verified,documented fact,Reubens bridge,Used for band-to-screen route.
S14,I Feel Love production chronology and electronic process,I Feel Love National Recording Registry essay,Library of Congress,government archival,https://www.loc.gov/static/programs/national-recording-preservation-board/documents/I-Feel-Love.pdf,verified,documented fact,Moroder,Donna Summer and Pete Bellotte roles remain visible.
S15,Moroder credits for Japan Blondie Bowie and film work,Giorgio Moroder music archive,Giorgio Moroder,first-party,https://www.giorgiomoroder.com/music/,verified with project qualification,documented fact,Moroder,Each article claim names the specific project rather than implying one continuous partnership.
S16,Moroder retrospective and 2013 track release,Random Access Memories,Daft Punk,first-party,https://daftpunk.com/randomaccessmemories/,verified,documented fact and participant history,coda,Long transcript language is not reproduced.
S17,Scottish-born and American-raised wording for David Byrne,David Byrne artist biography,Apple Music,platform editorial,https://music.apple.com/us/artist/david-byrne/47192943,verified,documented fact,transatlantic loop,Used to describe the geographic route precisely.
S18,Peter Gabriel 3 date Lillywhite Padgham XTC route Collins and Intruder gate story,Peter Gabriel 3,Peter Gabriel,first-party,https://petergabriel.com/release/peter-gabriel-3/,verified,participant recollection plus credits,XTC to Gabriel,Primary source for the technical transfer.
S19,Noise-gate mechanism,How To Optimise Your Reverb Treatments,Sound on Sound,technical secondary,https://www.soundonsound.com/techniques/how-optimise-your-reverb-treatments,verified,documented fact,XTC to Gabriel,Diagram is explicitly simplified and does not claim every studio used this exact chain.
S20,1980s King Crimson quartet and successive albums,DGM Live tours archive,DGM Live,first-party archival,https://dgmlive.com/tours?artist=8&order=&year=,verified,documented fact,King Crimson,Official archive names Fripp Belew Bruford and Levin.
S21,Belew Bowie Talking Heads and King Crimson personnel route,Adrian Belew biography,Adrian Belew,first-party,https://adrianbelew.net/adrian-belew-bio/,verified,documented fact,King Crimson,Studio and tour participation are not collapsed where the distinction matters.
S22,Levin Peter Gabriel and King Crimson route plus Chapman Stick,Tony Levin biography,Tony Levin,first-party,https://tonylevin.com/about,verified,documented fact,King Crimson,First Gabriel work is placed in 1977.
S23,Japan production progression and instrumental construction,Classic Tracks: Japan Ghosts,Sound on Sound,technical secondary,https://www.soundonsound.com/techniques/classic-tracks-japan-ghosts,verified,documented fact,Japan,Supports Barbieri Karn and Jansen mechanism description.
S24,Moroder production object for Life in Tokyo,Japan: Life in Tokyo,Giorgio Moroder official SoundCloud,first-party platform,https://soundcloud.com/giorgiomoroder/japan-life-in-tokyo,verified,documented fact,Japan,Article explicitly rejects a one-single transformation claim.
S25,New Romantic club fashion and post-punk and goth overlap,Club to Catwalk archive,Victoria and Albert Museum,museum secondary,https://www.vam.ac.uk/blog/club-to-catwalk,verified,representative branch,future branches,Used as representative history rather than a complete taxonomy.
S26,Kraftwerk independent influence lineage,Kraftwerk induction profile,Rock & Roll Hall of Fame,institutional secondary,https://rockhall.com/inductees/kraftwerk/,verified with proportional wording,historical interpretation,routers,Article does not route Kraftwerk through Eno or Moroder.
S27,The Cure post-punk goth alternative and pop branch,The Cure induction profile,Rock & Roll Hall of Fame,institutional secondary,https://rockhall.com/inductees/cure/,verified,representative branch,future branches,One representative example only.
S28,The River release and number-one chart peak,The River,Bruce Springsteen,first-party,https://brucespringsteen.net/albums/the-river/,verified,documented fact,Springsteen,Release date October 17 1980 and Billboard peak are official-page claims.
S29,Springsteen later synthesizer parts and adaptation,Roy Bittan,Bruce Springsteen,first-party,https://brucespringsteen.net/band/roy-bittan/,verified,documented fact,Springsteen,Supports Born in the U.S.A. and Dancing in the Dark examples.
S30,Cheech & Chong headline a 1973 bill with Springsteen,Newspaper Articles A-B index,Bruce Springsteen Special Collection at Monmouth University,archival index,https://brucespringsteenspecialcollection.monmouth.edu/newspaper-articles-a-b/,verified,documented fact,timeline,Index wording is preserved; article does not call this a shared tour.
S31,Peter Gabriel 4 date and Family and the Fishing Net placement,Peter Gabriel 4,Peter Gabriel,first-party,https://petergabriel.com/release/peter-gabriel-4/,verified,documented fact,later inheritance,Official release date is September 10 1982.
S32,NeverEnding Story dual soundtrack credit,The NeverEnding Story soundtrack,Apple Music,platform catalog,https://music.apple.com/us/album/the-neverending-story-original-motion-picture-soundtrack/691264356,verified,documented fact,screen branch,Credits both Klaus Doldinger and Giorgio Moroder.
S33,Moroder title-song and international soundtrack branch,Giorgio Moroder music archive,Giorgio Moroder,first-party,https://www.giorgiomoroder.com/music/,verified with credit caveat,documented fact,screen branch,Used alongside the soundtrack object; article keeps Klaus Doldinger's score credit explicit.
S34,Primus cover-record chronology,Primus vinyl reissues,Universal Music Group via PR Newswire,trade announcement,https://www.prnewswire.com/news-releases/primus-to-release-seven-remastered-albums-and-eps-on-black-vinyl--limited-edition-color-vinyl-300743408.html,verified,documented fact,later inheritance,Names the 1992 and 1998 releases; exact objects verified separately.
S35,All ten exact Spotify objects,Spotify oEmbed responses,Spotify,platform metadata,https://open.spotify.com/oembed,verified 2026-08-25,documented fact,later inheritance,Each ID returned the expected title; Scissor Man original identifies the 2001 Digital Remaster object.
S36,Spotify embed permissions and fallback implementation,Embeds,Spotify for Developers,official documentation,https://developer.spotify.com/documentation/embeds,verified 2026-08-25,implementation fact,later inheritance,Click-to-load preserves encrypted-media permission and direct exact links.
S37,YouTube start parameter privacy embed and fallback behavior,YouTube IFrame Player API,Google for Developers,official documentation,https://developers.google.com/youtube/iframe_api_reference,verified 2026-08-25,implementation fact,opening,Player uses youtube-nocookie start=561 autoplay=0 and an external timestamped fallback.
S38,Wolperath location of Conny Plank studio,Conny Plank,Gronland Records,first-party label archive,https://www.groenland.com/artist/conny-plank/,verified,documented fact,transatlantic map,Map labels Wolperath rather than Cologne.
S39,American funk and Afrobeat route into Remain in Light,Remain in Light,David Byrne,first-party retrospective,https://www.davidbyrne.com/explore/talking-heads-remain-in-light,verified,participant recollection,transatlantic map,Graphic labels broad feedback and not a literal journey.
S40,Hamburger Train exact object and Nice Dreams scene connection,Hamburger Train,Spotify plus author-supplied comparison,platform metadata and author observation,https://open.spotify.com/track/0tdWYwH8xIOoSeNoEz7QqV,track object verified 2026-08-25; sample source supplied by author,documented object and author observation,Reubens bridge,The Spotify object verifies the track title; the author identifies Reubens's opening sample as audio from the linked restaurant scene.
