source_node,target_node,edge_type,date_or_period,project_or_work,evidence_source,evidence_url,confidence,article_section,public_graphic,notes
Daft Punk,Giorgio Moroder,collaborated with,2013,Giorgio by Moroder,Daft Punk official Random Access Memories presentation,https://daftpunk.com/randomaccessmemories/,high,coda,yes,Spoken-history performance and track collaboration.
Paul Reubens,The Groundlings,member of,1970s-1981,stage and character work,The Groundlings institutional history,https://groundlings.com/about/history,high,Reubens bridge,yes,Pee-wee developed through workshops and revues.
Phil Hartman,The Groundlings,member of,1975-1986,stage and character work,The Groundlings Phil Hartman biography,https://groundlings.com/people/phil-hartman,high,Reubens bridge,yes,Official membership dates.
Phil Hartman,Pee-wee's Big Adventure,collaborated with,1985,screenplay,The Groundlings Phil Hartman biography,https://groundlings.com/people/phil-hartman,high,Reubens bridge,yes,Co-writing credit with Paul Reubens.
Danny Elfman,Pee-wee's Big Adventure,film or television collaboration,1985,film score,Danny Elfman participant interview,https://www.theringer.com/2021/06/10/music/danny-elfman-big-mess-interview-oingo-boingo,high,Reubens bridge,yes,Elfman's account of Reubens selecting him.
Mark Mothersbaugh,Pee-wee's Playhouse,film or television collaboration,1986 onward,television music,Mark Mothersbaugh participant remembrance,https://pitchfork.com/news/devos-mark-motherbaugh-remembers-pee-wees-playhouse-collaborator-paul-reubens/,high,Reubens bridge,yes,First-party career account.
Paul Reubens,Mark Mothersbaugh,collaborated with,1985-1986,Big Adventure approach and Pee-wee's Playhouse,Mark Mothersbaugh participant remembrance,https://pitchfork.com/news/devos-mark-motherbaugh-remembers-pee-wees-playhouse-collaborator-paul-reubens/,high,Reubens bridge,yes,Proposed film score and completed television work are distinguished.
Paul Reubens,Danny Elfman,collaborated with,1985,Pee-wee's Big Adventure,Danny Elfman participant interview,https://www.theringer.com/2021/06/10/music/danny-elfman-big-mess-interview-oingo-boingo,high,Reubens bridge,yes,Film collaboration.
Mark Mothersbaugh,Devo,member of,1973 onward,Devo,Devo official site,https://clubdevo.com/,high,Reubens bridge,yes,Band-to-screen route.
Danny Elfman,Oingo Boingo,member of,1979-1995,Oingo Boingo,Danny Elfman participant interview,https://www.theringer.com/2021/06/10/music/danny-elfman-big-mess-interview-oingo-boingo,high,Reubens bridge,yes,Band-to-film route.
Primus,XTC,covered,1992,Making Plans For Nigel,Spotify exact track objects,https://open.spotify.com/track/5EvpklpOJu1dJK5MGsRNzx,high,later inheritance,yes,Compared directly with XTC object 1XT5kxg6Tk0ukCO2vBQN4v.
Primus,XTC,covered,1998,Scissor Man,Spotify exact track objects,https://open.spotify.com/track/4pSRdrjShKkblJgcIFiieL,high,later inheritance,yes,Compared directly with XTC object 1OM6HeJdm6AKe2VJCn9pbA.
Primus,Peter Gabriel,covered,1992,Intruder,Spotify exact track objects,https://open.spotify.com/track/3XUecNMkz1jOrfz1H11bOE,high,later inheritance,yes,Compared directly with Peter Gabriel object 4vgqp0xt9Y22jMG177y4B4.
Primus,Peter Gabriel,covered,1998,The Family And The Fishing Net,Spotify exact track objects,https://open.spotify.com/track/7mi32lMRzl5618GTeuy7WO,high,later inheritance,yes,Compared directly with Peter Gabriel object 3NIiAqTN1nvL8tG1WHS3G1.
Primus,Nice Dreams restaurant scene,sampled,1993,Hamburger Train,Spotify exact track object and author scene comparison,https://open.spotify.com/track/0tdWYwH8xIOoSeNoEz7QqV,high,Reubens bridge,yes,Track object is platform-verified; identification of Reubens's opening line as the linked scene is author-supplied.
MTV,Talking Heads,platform amplification,1981 onward,music-video distribution,MTV history overview,https://www.britannica.com/topic/MTV,medium,future branches,yes,MTV is an amplifier and not an origin.
Devo,Conny Plank Studio,recorded at,1978,Q: Are We Not Men? A: We Are Devo!,Devo participant interview,https://www.theguardian.com/music/2022/apr/14/devo-richard-branson-almost-killed-us-in-the-jamaican-mountains,high,transatlantic map,yes,Wolperath location is identified separately in source ledger.
American funk and R&B,Talking Heads,directly cited as influence,1979-1980,Fear of Music and Remain in Light,David Byrne official writing,https://www.davidbyrne.com/explore/talking-heads-more-songs-about-buildings-and-food,medium,transatlantic map,yes,Graphic labels this as broad feedback rather than one trip.
Fela Kuti and Afrobeat,Talking Heads,directly cited as influence,1980,Remain in Light,David Byrne official writing,https://www.davidbyrne.com/explore/talking-heads-remain-in-light,high,transatlantic map,yes,Representative rhythmic influence route.
