"slug","title","status","date","category","department","legacySeries","presentsSeries","workshopProgram","entryType","format","tags","relatedArticles","centralObject","primarySection","subjects","seriesAndSpecials","people","organizations","places","events","works","publications","technologies","sourceArtifacts","storyModes","confidence","ambiguityNotes"
"against-slop","Against Slop","published","2026-06-08T00:00:00.000Z","cultural-thread","essays-arguments","","","","","article","[""manifesto"",""ai art"",""slop"",""style construction"",""psychedelic goth""]","[]","How model averages flatten visual culture and how an artist can build a specific visual system instead.","art-design","[""generative-media"",""ai-image-generation"",""psychedelic-art"",""visual-systems"",""creative-workflows""]","[]","[]","[]","[]","[]","[]","[]","[""ai-image-generation"",""stylefusion"",""grimoire""]","[]","[""visual-study"",""process-essay""]","high",""
"before-wavy-gravy-was-ice-cream","Before Wavy Gravy Was Ice Cream","scheduled","2026-08-18T23:20:00.000Z","magazine-time-machine","magazine-time-machine","Before the Scene Had a Name","","","feature","article","[""Wavy Gravy"",""Jahanara Romney"",""Bonnie Beecher"",""Hog Farm"",""Woodstock"",""Bill Graham"",""Camp Winnarainbow"",""Seva Foundation"",""counterculture"",""live music""]","[""from-wetlands-to-the-wash"",""fear-and-loathing-after-the-american-dream""]","The people, communities, and working systems behind Wavy Gravy before the ice-cream brand association.","culture","[""counterculture"",""communal-living"",""festival-culture"",""live-music"",""social-history""]","[]","[""wavy-gravy"",""jahanara-romney"",""ken-kesey"",""bill-graham""]","[""hog-farm"",""merry-pranksters"",""grateful-dead"",""camp-winnarainbow"",""seva-foundation"",""ben-and-jerrys""]","[""san-francisco""]","[""woodstock-1969"",""veneta-1972""]","[]","[]","[]","[]","[""cultural-trail"",""media-genealogy""]","medium","The legacy label Before the Scene Had a Name is a singleton and remains outside the canonical series registry pending a publisher decision."
"brought-to-you-by-they-inc","Brought to You by They, Inc.","published","2026-07-24T15:00:00.000Z","cultural-thread","essays-arguments","","","","feature","article","[""media"",""political identity"",""attention"",""propaganda"",""information systems"",""artificial intelligence"",""thirty-year field report""]","[""vacation-into-nothing"",""the-censor-eats-its-own-tail"",""you-do-not-own-the-ai-you-pay-for""]","Thirty years of secondhand certainty and the social supply chain that manufactures it.","culture","[""political-culture"",""information-systems"",""propaganda"",""social-media"",""media-literacy"",""personal-history""]","[]","[""donald-trump""]","[]","[""las-vegas""]","[""covid-19-pandemic"",""january-6-attack""]","[]","[]","[""recommendation-algorithms"",""artificial-intelligence""]","[]","[""personal-history-trail"",""systems-investigation""]","high",""
"building-in-public","Building in Public with AI Tools","published","2026-03-01T00:00:00.000Z","technical","workshop-notes","","","","","workshop-note","[""ai"",""workflow"",""hobfarm""]","[]","A schema-first, multi-agent workflow for building and publishing HobFarm.","technology","[""artificial-intelligence"",""creative-workflows"",""multi-agent-systems"",""schema-design"",""publishing-workflow""]","[]","[]","[""hobfarm""]","[]","[]","[]","[]","[""artificial-intelligence"",""codex""]","[]","[""technical-explainer"",""process-essay""]","high",""
"building-in-public-solo-developer","Building in Public as a Solo Developer","published","2026-03-10T00:00:00.000Z","business","workshop-notes","","","","","workshop-note","[""solo-dev"",""indie"",""cloudflare"",""business-model""]","[]","The infrastructure and business tradeoffs of running HobFarm as a solo developer.","technology","[""indie-development"",""cloud-computing"",""solo-publishing"",""automation"",""platform-economics""]","[]","[]","[""cloudflare"",""hobfarm""]","[]","[]","[]","[]","[""cloudflare-workers"",""cloudflare-d1"",""cloudflare-r2"",""stylefusion"",""grimoire""]","[]","[""technical-explainer"",""process-essay""]","high",""
"california-used-to-race-here","California Used to Race Here","published","2026-07-25T15:00:00.000Z","","magazine-time-machine","Built Over","","","feature","article","[""California history"",""auto racing"",""Southern California"",""Gilmore Stadium"",""hot rods"",""lowriders"",""built environment""]","[]","Southern California race sites and the successive urban systems built over them.","places-systems","[""regional-history"",""built-environment"",""transportation-history"",""urban-development"",""place-memory""]","[""built-over""]","[]","[]","[""southern-california"",""gilmore-stadium"",""original-farmers-market"",""pan-pacific-auditorium""]","[]","[]","[]","[]","[{""id"":""farmers-market-historical-display"",""type"":""photograph"",""label"":""Original Farmers Market historical display"",""role"":""origin""}]","[""place-study"",""archive-trail""]","high",""
"color-becomes-a-cast","Color Becomes a Cast","published","2026-07-04T07:00:00.000Z","cultural-thread","workshop-notes","Visual Systems","","","","article","[""visual-systems"",""stylefusion"",""psygoth"",""technodelic"",""rgb"",""character-design"",""ai-image-generation"",""workflow""]","[""psychedelic-goth-defined"",""stylefusion-ir-extraction"",""same-model-different-surface"",""how-psychedelia-went-beige""]","The long evolution of a color-driven visual idea into reusable HobFarm character and style systems.","art-design","[""visual-systems"",""character-design"",""psychedelic-art"",""ai-image-generation"",""creative-workflows""]","[]","[]","[]","[]","[]","[]","[]","[""stylefusion"",""ai-image-generation""]","[]","[""process-essay"",""visual-study""]","medium","Visual Systems is treated as a Workshop/program label rather than a canonical Editorial series."
"deserts-remember-water","Deserts Remember Water","scheduled","2026-08-25T23:20:00.000Z","research","essays-arguments","","","","feature","article","[""deserts"",""water"",""Lake Mead"",""Tule Springs"",""Lake Cahuilla"",""Salton Sea"",""Lake Chad"",""Colorado River"",""environmental history"",""infrastructure""]","[""from-wetlands-to-the-wash"",""trash-mountain"",""california-used-to-race-here""]","Arid landscapes read across several clocks, from fossil wetlands and recurring lakes to managed reservoirs and current displacement.","places-systems","[""environmental-systems"",""infrastructure"",""regional-history"",""place-memory"",""settlement-patterns"",""urban-hydrology""]","[]","[]","[""bureau-of-reclamation"",""nasa"",""national-park-service"",""new-liverpool-salt-company"",""noaa"",""unhcr"",""us-geological-survey""]","[""colorado-river-basin"",""lake-cahuilla"",""lake-chad"",""lake-mead"",""lake-powell"",""las-vegas"",""salton-sea"",""southern-california"",""tule-springs-fossil-beds""]","[]","[]","[]","[""landsat""]","[{""id"":""lake-mead-2000-2021-landsat-comparison"",""type"":""map"",""label"":""USGS/NASA Landsat comparison of Lake Mead in August 2000 and August 2021"",""role"":""organizing""}]","[""comparative-history"",""place-study"",""systems-investigation"",""visual-study""]","high",""
"divisionism-was-painting-before-pixels","Divisionism Was Painting Before Pixels","published","2026-06-09T00:00:00.000Z","cultural-thread","essays-arguments","","","","","article","[""divisionism"",""art history"",""visual systems"",""image generation"",""grimoire"",""process""]","[]","Divisionism as a system of separated visual units that anticipates digital image logic.","art-design","[""art-history"",""color-theory"",""visual-systems"",""ai-image-generation"",""visual-aesthetics""]","[]","[]","[]","[]","[]","[]","[]","[""ai-image-generation""]","[]","[""comparative-history"",""visual-study""]","high",""
"dragons-lair-was-better-once-we-stopped-playing-it","Dragon’s Lair Was Better Once We Stopped Playing It","scheduled","2026-08-23T23:20:00.000Z","","essays-arguments","","","","feature","article","[""Dragon’s Lair"",""Don Bluth"",""arcade games"",""game history"",""LaserDisc"",""Doom""]","[""hit-the-source-directly"",""the-feed-is-the-problem"",""everything-is-still-loading"",""take-me-to-phobos""]","Dragon’s Lair as spectacular Don Bluth animation constrained by the price, controls, and playback hardware of a coin-operated cabinet.","technology","[""game-history"",""game-design"",""hardware-economics"",""computing-history"",""personal-history""]","[]","[""don-bluth"",""rick-dyer""]","[""cinematronics"",""id-software"",""midway-games"",""nintendo""]","[""las-vegas""]","[]","[""dragons-lair"",""led-storm"",""street-fighter-ii"",""mortal-kombat"",""wolfenstein-3d"",""doom""]","[""boing-boing""]","[""arcade-video-games"",""laserdisc"",""atari-2600"",""nintendo-entertainment-system""]","[{""id"":""boing-boing-dragons-lair-cost-2026"",""type"":""other"",""label"":""Dragon’s Lair only cost 50 cents to beat in 1983"",""publication"":""Boing Boing"",""role"":""origin""}]","[""personal-history-trail"",""media-genealogy""]","high",""
"ec-machine","Before the Crypt: The Machine That Made EC Comics","published","2026-08-05T00:20:00.000Z","cultural-thread","magazine-time-machine","Magazine Time Machine","","","feature","article","[""EC Comics"",""Max Gaines"",""William Gaines"",""Mad"",""Son of Mad"",""Tales from the Crypt"",""comic book history"",""A Hard Day's Night"",""Magazine Time Machine""]","[""hey-its-that-guy"",""mad-trump-and-the-magazine-time-machine"",""the-censor-eats-its-own-tail"",""how-the-money-eats-the-medium""]","The Son of Mad paperback inside A Hard Day's Night and the publishing machinery behind it.","culture","[""publishing"",""media-history"",""censorship"",""film-history""]","[]","[""max-gaines"",""william-gaines"",""harvey-kurtzman""]","[""ec-comics"",""new-american-library""]","[]","[]","[""son-of-mad"",""a-hard-days-night"",""tales-from-the-crypt""]","[""mad-magazine""]","[]","[{""id"":""son-of-mad-s1701-paperback"",""type"":""paperback"",""label"":""William M. Gaines's Son of Mad, Signet S1701"",""publication"":""mad-magazine"",""role"":""origin""}]","[""archive-trail"",""media-genealogy""]","medium","The originating artifact is a paperback rather than a magazine, so canonical Magazine Time Machine membership is omitted while the legacy route remains."
"every-sentence-is-a-keynote-conclusion","Every Sentence Is a Keynote Conclusion","published","2026-08-15T23:20:00.000Z","","workshop-notes","","","workshop-notes","feature","workshop-note","[""artificial intelligence"",""AI writing"",""publishing"",""ChatGPT"",""model collapse"",""synthetic data"",""editing"",""writing process""]","[""reviewing-request-for-safety"",""the-card-catalog-started-talking-back"",""same-same-but-different"",""the-model-is-free"",""you-should-write-about-sharks""]","The recurring rhetorical and narrative defaults that flatten AI-assisted writing, and the editorial workflow required to keep a point of view intact.","technology","[""artificial-intelligence"",""publishing"",""model-behavior"",""publishing-workflow"",""synthetic-media""]","[]","[""daniel-pink"",""kasey-steinbrinck""]","[""amazon"",""linkedin"",""openai"",""hobfarm""]","[]","[]","[]","[]","[""chatgpt"",""artificial-intelligence""]","[{""id"":""kasey-steinbrinck-linkedin-post-2026"",""type"":""other"",""label"":""Kasey Steinbrinck LinkedIn post about memorable AI-assisted work"",""publication"":""LinkedIn"",""role"":""origin""},{""id"":""daniel-pink-linkedin-post-2026"",""type"":""other"",""label"":""Daniel Pink LinkedIn post about AI and books"",""publication"":""LinkedIn"",""role"":""origin""}]","[""process-essay"",""systems-investigation"",""field-report""]","high",""
"everything-is-still-loading","Everything Is Still Loading","published","2026-07-19T15:00:00.000Z","cultural-thread","essays-arguments","","","","feature","article","[""PC gaming"",""computer history"",""Doom"",""BBS"",""Steam"",""Civilization"",""Early Access"",""Windows 11"",""Adobe Premiere"",""forced obsolescence"",""virtual reality""]","[""take-me-to-phobos"",""gonna-be-different"",""how-the-money-eats-the-medium""]","The change from a finished game in a box to a distributed service that is always still loading.","technology","[""game-history"",""platform-economics"",""software-ownership"",""computing-history"",""forced-obsolescence""]","[]","[]","[""valve"",""microsoft""]","[]","[]","[""doom"",""civilization-vii""]","[]","[""bbs"",""steam""]","[]","[""personal-history-trail"",""systems-investigation""]","high",""
"fear-and-loathing-after-the-american-dream","Fear and Loathing After the American Dream","published","2026-08-05T23:20:00.000Z","cultural-thread","essays-arguments","","","","feature","article","[""Hunter S. Thompson"",""Fear and Loathing in Las Vegas"",""American Dream"",""Las Vegas"",""Route 66"",""road trip"",""political culture"",""cannabis history"",""housing"",""live production"",""personal essay""]","[""susan-denbergs-american-dream"",""i-may-have-inspired-it"",""i-could-be-playing-civilization"",""hey-its-that-guy""]","A 2016 road trip used to test the American Dream across changed places, politics, and personal history.","culture","[""personal-history"",""road-culture"",""political-culture"",""urban-history"",""place-memory""]","[]","[""hunter-s-thompson""]","[]","[""las-vegas"",""route-66"",""aspen"",""maine""]","[]","[""fear-and-loathing-in-las-vegas""]","[]","[]","[{""id"":""american-dream-road-trip-photo-archive"",""type"":""photograph"",""label"":""2016 cross-country road-trip photograph archive"",""role"":""organizing""}]","[""personal-history-trail"",""field-report""]","medium","Culture owns the personal and political argument; Places & Systems remains a strong secondary relationship."
"from-wetlands-to-the-wash","From Wetlands to the Wash","scheduled","2026-08-17T23:20:00.000Z","magazine-time-machine","magazine-time-machine","Built Over","","","feature","article","[""Las Vegas"",""Brooklyn Bowl"",""Flamingo Wash"",""The LINQ"",""Imperial Palace"",""Wetlands Preserve"",""Joe Russo's Almost Dead"",""live music"",""built environment"",""Peter Shapiro"",""Sphere""]","[""california-used-to-race-here"",""i-want-my-mtv""]","The physical and commercial systems layered beneath Brooklyn Bowl Las Vegas.","places-systems","[""built-environment"",""infrastructure"",""live-music"",""venue-history"",""urban-hydrology""]","[""built-over""]","[""peter-shapiro""]","[""brooklyn-bowl"",""caesars-entertainment"",""live-nation""]","[""flamingo-wash"",""linq-promenade"",""wetlands-preserve"",""las-vegas""]","[""covid-19-pandemic""]","[]","[]","[]","[]","[""place-study"",""systems-investigation""]","high",""
"gary-and-the-fork","Gary and the Fork","published","2026-06-12T00:00:00.000Z","technical","workshop-notes","","","","","workshop-note","[""ai"",""image generation"",""prompting"",""process"",""character design"",""gary""]","[]","A repeated fork in generated images used as a controlled experiment in conversational and model defaults.","technology","[""model-behavior"",""ai-image-generation"",""prompt-engineering"",""creative-workflows""]","[]","[]","[""openai""]","[]","[]","[]","[]","[""chatgpt"",""gpt-4o"",""ai-image-generation""]","[]","[""field-report"",""systems-investigation""]","high",""
"gonna-be-different","It’s Gonna Be Different Every Time","published","2026-07-17T00:00:00.000Z","research","essays-arguments","Other Alice Adventures","","","feature","article","[""Big"",""Other Alice Adventures"",""interactive fiction"",""AI-native games"",""procedural storytelling"",""game design"",""story engines"",""Grimoire"",""StyleFusion""]","[""other-alice-origin"",""grimoire-knowledge-graph"",""stylefusion-ir-extraction"",""3dm/enter-the-millerverse""]","The electronic comic in Big as a route into HobFarm's procedural Other Alice story engine.","technology","[""interactive-fiction"",""procedural-storytelling"",""game-design"",""creative-systems"",""media-history""]","[]","[]","[]","[]","[]","[""big-1988"",""other-alice-adventures""]","[]","[""wonder-machine"",""grimoire"",""stylefusion""]","[{""id"":""big-electronic-comic-scene"",""type"":""film"",""label"":""Big (1988), electronic comic scene"",""role"":""origin""}]","[""media-genealogy"",""process-essay""]","medium","Other Alice Adventures is a Presents title/imprint relationship rather than a canonical Editorial series."
"goth-get-boots","Prompt Goth, Get Boots","published","2026-06-12T00:00:00.000Z","technical","workshop-notes","","","","","workshop-note","[""ai"",""image generation"",""prompting"",""character design"",""defaults"",""names""]","[]","Three years of chat and image history used to document recurring model names, outfits, and staging defaults.","technology","[""model-behavior"",""ai-image-generation"",""synthetic-media"",""prompt-engineering"",""research-methods""]","[]","[""laura-wattenberg"",""max-read""]","[""openai""]","[]","[]","[]","[]","[""chatgpt"",""gpt-4o"",""ai-image-generation""]","[]","[""archive-trail"",""systems-investigation""]","high",""
"grimoire-knowledge-graph","Why a Visual Knowledge Graph","published","2026-02-01T00:00:00.000Z","grimoire","workshop-notes","","","","","workshop-note","[""grimoire"",""knowledge-graph"",""ai""]","[]","Grimoire's graph structure for turning aesthetic vocabulary into queryable, reusable data.","technology","[""knowledge-systems"",""visual-systems"",""artificial-intelligence"",""schema-design""]","[]","[]","[]","[]","[]","[]","[]","[""grimoire"",""stylefusion"",""artificial-intelligence""]","[]","[""technical-explainer""]","high",""
"hello-world","Building HobFarm: Architecture for Multi-Provider AI","published","2026-03-01T00:00:00.000Z","technical","workshop-notes","","","","","workshop-note","[""cloudflare"",""architecture"",""workers""]","[]","HobFarm's thin multi-provider routing architecture on Cloudflare.","technology","[""cloud-computing"",""multi-provider-ai"",""software-architecture"",""platform-economics""]","[]","[]","[""cloudflare"",""hobfarm""]","[]","[]","[]","[]","[""cloudflare-workers"",""ai-gateway"",""cloudflare-r2"",""cloudflare-d1"",""model-apis""]","[]","[""technical-explainer""]","high",""
"hermit-does-not-have-to-pay-for-repairs","Hermit Does Not Have to Pay for Repairs","published","2026-08-06T23:20:00.000Z","cultural-thread","essays-arguments","","","","feature","article","[""Christopher Knight"",""North Pond Hermit"",""Shōichi Yokoi"",""Hiroo Onoda"",""survival"",""Alone"",""Jeremiah Johnson"",""Maine"",""personal essay"",""comparative history""]","[""fear-and-loathing-after-the-american-dream"",""i-may-have-inspired-it""]","A small 2016 Maine newspaper headline opening a comparison among several forms of isolation and survival.","culture","[""survival"",""social-isolation"",""personal-history"",""regional-history"",""labor-history""]","[]","[""christopher-knight"",""shoichi-yokoi"",""hiroo-onoda""]","[]","[""maine""]","[]","[""alone"",""jeremiah-johnson""]","[""bangor-daily-news""]","[]","[{""id"":""bangor-daily-news-august-5-2016"",""type"":""newspaper"",""label"":""Bangor Daily News front page, August 5, 2016"",""publication"":""bangor-daily-news"",""role"":""origin""}]","[""archive-trail"",""comparative-history""]","high",""
"hey-its-that-guy","Hey, It’s That Guy: The Tales from the Crypt Rabbit Hole","published","2026-08-04T00:20:00.000Z","cultural-thread","magazine-time-machine","","","","connection-map","article","[""Tales from the Crypt"",""The Man Who Was Death"",""Walter Hill"",""William Sadler"",""EC Comics"",""Creepshow"",""Stephen King"",""Ray Bradbury"",""character actors"",""film history"",""Bangor Maine"",""Brewer Maine""]","[""ec-machine"",""i-may-have-inspired-it"",""3dm/enter-the-millerverse"",""how-the-money-eats-the-medium"",""mad-trump-and-the-magazine-time-machine"",""the-censor-eats-its-own-tail""]","A Tales from the Crypt rewatch that opens a map of performers, comics, production histories, and Maine locations.","film-tv","[""film-history"",""television-history"",""character-actors"",""censorship""]","[]","[""walter-hill"",""william-sadler"",""stephen-king"",""ray-bradbury""]","[""hbo"",""ec-comics""]","[""bangor-maine""]","[]","[""tales-from-the-crypt"",""the-man-who-was-death"",""creepshow-2""]","[]","[]","[{""id"":""the-man-who-was-death-broadcast"",""type"":""broadcast"",""label"":""Tales from the Crypt: The Man Who Was Death"",""role"":""origin""}]","[""media-genealogy"",""connection-map""]","high",""
"hit-the-source-directly","Hit the Source Directly","scheduled","2026-08-21T23:20:00.000Z","","essays-arguments","","","","feature","article","[""RSS"",""Atom"",""independent publishing"",""feed readers"",""recommendation systems""]","[""the-feed-is-the-problem"",""the-future-was-already-there"",""every-sentence-is-a-keynote-conclusion"",""reviewing-request-for-safety"",""the-number-one-song-ive-never-heard""]","RSS as a reader-controlled route to source publications and a practical publishing system built around direct selection.","technology","[""publishing"",""recommendation-systems"",""information-systems"",""attention-economy"",""content-discovery"",""open-computing"",""personal-history""]","[]","[""andrej-karpathy"",""evan-schwartz"",""michael-lynch""]","[""google"",""hobfarm"",""youtube""]","[]","[]","[""subone-graffiti-art""]","[]","[""rss"",""atom"",""opml"",""feed-readers"",""recommendation-algorithms"",""artificial-intelligence""]","[{""id"":""karpathy-rss-post-2026"",""type"":""other"",""label"":""Andrej Karpathy's February 1, 2026 RSS post"",""role"":""organizing""},{""id"":""most-popular-blogs-hn-2025-opml"",""type"":""other"",""label"":""Evan Schwartz's 92-feed OPML conversion"",""role"":""organizing""}]","[""personal-history-trail"",""media-genealogy"",""technical-explainer"",""systems-investigation""]","high",""
"how-hobbot-keeps-the-lights-on","How HobBot Keeps the Lights On","published","2026-03-13T00:00:00.000Z","hobbot","workshop-notes","","","","","workshop-note","[""automation"",""hobbot"",""pipeline"",""infrastructure""]","[]","The scheduled and event-driven automations that keep a one-person publishing system moving.","technology","[""automation"",""publishing-workflow"",""cloud-computing"",""solo-publishing""]","[]","[]","[""hobfarm"",""cloudflare""]","[]","[]","[]","[]","[""hobbot"",""cloudflare-workers"",""grimoire""]","[]","[""technical-explainer""]","high",""
"how-psychedelia-went-beige","How Psychedelia Went Beige","published","2026-06-07T00:00:00.000Z","cultural-thread","essays-arguments","","","","","article","[""observation"",""psychedelic"",""ai slop"",""festival culture"",""aesthetics""]","[]","How one spiritual-wellness visual kit became the default picture of psychedelia and then a model average.","art-design","[""psychedelic-art"",""generative-media"",""festival-culture"",""visual-culture"",""ai-image-generation""]","[]","[]","[]","[]","[]","[]","[]","[""ai-image-generation""]","[]","[""visual-study"",""cultural-trail""]","high",""
