source_id,provider_or_topic,title,url,source_type,supports,checked_at,volatility,refresh_before_publish,notes
S018,FLORA,Terms of Service,https://flora.ai/legal/terms-of-service,official legal terms,User data and training representations,2026-08-06,medium,yes,Verify current wording.
S019,Luma,LLM Info,https://lumalabs.ai/llm-info,official structured product page,"Current Ray3.2 and UNI-1.1 names, app/API distinction, third-party model integration",2026-08-06,high,yes,Useful because Luma explicitly warns against old Dream Machine naming.
S020,Luma,App and Pricing,https://lumalabs.ai/app,official product page,"Creative agents, subscription plans",2026-08-06,very high,yes,Page may be dynamically rendered. Capture public price card.
S021,Luma,API FAQ,https://docs.agents.lumalabs.ai/guides/faq/,official developer docs,"API contract, 6000-character prompts, reference limits, no public seed, output URL expiry",2026-08-06,high,yes,Use as provider-adapter example.
S022,Krea,Homepage,https://www.krea.ai/,official product page,"Broad image/video/3D suite, realtime and model gallery",2026-08-06,high,yes,Snapshot model counts and plan teaser.
S023,Krea,Pricing,https://www.krea.ai/pricing,official pricing,Compute-unit plans,2026-08-06,very high,yes,Recheck exact units and prices.
S024,Krea,Model Library,https://www.krea.ai/models,official product page,"Current image, video, audio, editing and 3D inventory",2026-08-06,very high,yes,Use model counts as dated snapshot only.
S025,Krea,API,https://www.krea.ai/features/api,official product page,Programmatic access and unit examples,2026-08-06,high,yes,Verify exact model coverage.
S026,Magnific,Pricing,https://www.magnific.com/pricing,official pricing,"Annual credit pools, unlimited tiers, API and Spaces access",2026-08-06,very high,yes,Recheck current sale prices and annual equivalents.
S027,Magnific,Spaces,https://www.magnific.com/spaces,official product page,Canvas and node workflows,2026-08-06,high,yes,Use for primary-object comparison.
S028,Magnific,Unlimited Changes,https://www.magnific.com/ai/unlimited/changes,official policy page,High-demand models moving from unlimited to credits,2026-08-06,very high,yes,Strong example of plan meaning changing.
S029,Magnific,Freepik is now Magnific,https://www.magnific.com/freepik,official transition page,"Brand transition, projects/subscriptions/API migration",2026-08-06,medium,yes,Use current name consistently.
S030,ElevenLabs,Creative Pricing,https://elevenlabs.io/pricing,official pricing,"Shared credit pool, plan tiers, rollover rules",2026-08-06,very high,yes,Recheck plan details.
S031,ElevenLabs,API Pricing,https://elevenlabs.io/pricing/api,official pricing,Per-unit audio and agent pricing,2026-08-06,very high,yes,Snapshot only relevant rows used in article.
S032,ElevenLabs,Flows Agent,https://elevenlabs.io/blog/introducing-flows-agent,official announcement,Node canvas joining visual models with audio products,2026-08-06,high,yes,Verify product naming and current availability.
S033,HeyGen,Pricing,https://www.heygen.com/pricing,official pricing,Presenter/avatar plans and premium credits,2026-08-06,very high,yes,Recheck exact plan and engine rates.
S034,HeyGen,May 2026 Release,https://www.heygen.com/blog/heygen-may-2026-release,official announcement,Avatar V and product updates,2026-08-06,high,yes,Use for presenter object.
S035,Synthesia,Pricing,https://www.synthesia.io/pricing,official pricing,"Enterprise presenter plans, minutes and avatar access",2026-08-06,very high,yes,Recheck plan details.
S036,InVideo,Pricing,https://invideo.io/pricing/,official pricing,Guided prompt-to-video plans and credit behavior,2026-08-06,very high,yes,Check rollover wording and model access.
S037,Adobe Firefly,Firefly Studio,https://firefly.adobe.com/,official product page,Creative suite and model access,2026-08-06,high,yes,Capture exact integrated model count only if needed.
S038,Adobe Firefly,Plans,https://www.adobe.com/products/firefly/plans.html,official pricing,Generative credits and plan tiers,2026-08-06,very high,yes,Recheck prices.
S039,Adobe Firefly,API Overview,https://developer.adobe.com/firefly-services/docs/firefly-api/,official developer docs,Direct API and enterprise integration,2026-08-06,high,yes,Verify current endpoints.
S040,Midjourney,Comparing Plans,https://docs.midjourney.com/hc/en-us/articles/27870484040333-Comparing-Midjourney-Plans,official docs,Subscription tiers and GPU modes,2026-08-06,very high,yes,Recheck exact version and prices.
S041,Midjourney,Version,https://docs.midjourney.com/hc/en-us/articles/32199405667853-Version,official docs,Current model version and release date,2026-08-06,very high,yes,This can change before publication.
S042,Midjourney,Community Guidelines,https://docs.midjourney.com/hc/en-us/articles/32013696484109-Community-Guidelines,official policy,Automation/API restrictions and moderation,2026-08-06,high,yes,Quote sparingly.
S043,fal,Documentation,https://fal.ai/docs/documentation,official developer docs,"Model APIs, queues, webhooks, platform access",2026-08-06,high,yes,Use current model count only if directly documented.
S044,fal,Changelog,https://fal.ai/docs/changelog,official developer changelog,"Serverless deployments, ComfyUI hosting, retries, analytics, rapid change",2026-08-06,very high,yes,Use as evidence of infrastructure depth and movement.
S045,Replicate,Pricing,https://replicate.com/pricing,official pricing,Per-hardware/runtime and model pricing,2026-08-06,high,yes,Recheck current hardware table.
S046,Hugging Face,Inference Providers Pricing,https://huggingface.co/docs/inference-providers/pricing,official docs,Provider routing and pricing,2026-08-06,high,yes,Verify provider count/no-markup wording.
S047,Together AI,Pricing,https://www.together.ai/pricing,official pricing,"Serverless, dedicated endpoints, fine-tuning",2026-08-06,high,yes,Recheck modality coverage.
S048,OpenRouter,Quickstart,https://openrouter.ai/docs/quickstart,official docs,One API for many LLMs,2026-08-06,high,yes,Pair with routing and fee docs.
S049,OpenRouter,Provider Routing,https://openrouter.ai/docs/guides/routing/provider-selection,official docs,Fallbacks and provider selection,2026-08-06,high,yes,Use for same-model/different-provider issue.
S050,OpenRouter,FAQ,https://openrouter.ai/docs/faq,official docs,Credit purchase fee and billing,2026-08-06,high,yes,Recheck fee.
S051,Cloudflare,AI Gateway,https://developers.cloudflare.com/ai-gateway/,official docs,"Logging, caching, rate limits, fallback and routing",2026-08-06,high,yes,Use as provider-substitution infrastructure.
S052,RunPod,Serverless Overview,https://docs.runpod.io/serverless/overview,official docs,Rented GPU serverless worker model,2026-08-06,high,yes,Recheck pricing separately if used.
S053,RunPod,Public Endpoints,https://docs.runpod.io/public-endpoints/overview,official docs,Ready-to-use model endpoints,2026-08-06,very high,yes,Endpoint inventory/prices change.
S054,ComfyUI,Official Docs,https://docs.comfy.org/,official docs,"Local/open node graph, API, cloud/partner nodes",2026-08-06,high,yes,Include custom-node safety caveat.
S055,RunningHub,Homepage,https://www.runninghub.ai/,official product page,"Hosted ComfyUI, workflow marketplace, APIs",2026-08-06,high,yes,Verify pricing and API docs inside app.
S056,BFL,FLUX 3 Announcement,https://bfl.ai/blog/flux-3,official announcement,"Multimodal model, video/image/audio, open-weight launch plan",2026-08-06,very high,yes,Separate preliminary vendor evaluations from independent facts.
S057,BFL,FLUX 3 Video GA,https://bfl.ai/blog/flux-3-video,official announcement,"Aug 4 GA, up to 20 seconds, native audio, 720p/1080p, draft mode",2026-08-06,very high,yes,Recheck partners and availability.
S058,BFL,Pricing,https://bfl.ai/pricing,official pricing,Direct API rate and open-weight license tiers,2026-08-06,very high,yes,Capture selected mode/resolution rate.
S059,Google,Gemini API Pricing,https://ai.google.dev/gemini-api/docs/pricing,official pricing,"Text/image/video API prices, free/paid tiers",2026-08-06,very high,yes,Recheck Veo and image rows.
S060,Google,Gemini API Changelog,https://ai.google.dev/gemini-api/docs/changelog,official changelog,Model releases and changes,2026-08-06,very high,yes,Check Aug 7-12 changes.
S061,Google,Gemini API Deprecations,https://ai.google.dev/gemini-api/docs/deprecations,official docs,Sunset dates and replacement models,2026-08-06,very high,yes,High priority publication-day check.
S062,Alibaba,Model Catalog,https://www.alibabacloud.com/help/en/model-studio/models,official docs,"Qwen, Wan and third-party model inventory",2026-08-06,very high,yes,Check international region catalog.
S063,Alibaba,Model Pricing,https://www.alibabacloud.com/help/en/model-studio/model-pricing,official pricing,Per-model API prices,2026-08-06,very high,yes,Use current international prices only.
S064,Alibaba,Text-to-Video API Reference,https://www.alibabacloud.com/help/en/model-studio/text-to-video-api-reference,official docs,Prompt character limit example,2026-08-06,high,yes,Verify exact current limit for the model used.
S065,BytePlus,Seedance 2.0 Tutorial,https://docs.byteplus.com/en/docs/ModelArk/2291680,official docs,Direct API path and model use,2026-08-06,high,yes,Check international account requirements.
S066,BytePlus,Video Generation Model Terms,https://docs.byteplus.com/zh-CN/docs/ModelArk/Specific_Terms_for_the_BytePlus_Video_Generation_Model_Services,official legal terms,US regional unavailability,2026-08-06,high,yes,Archive exact clause and current date.
S067,Kling,Kling 3 Model Guide,https://kling.ai/quickstart/klingai-video-3-model-user-guide,official docs,Current capabilities and first-party consumer access,2026-08-06,very high,yes,Recheck version.
S068,Kling,Developer Update Notice,https://app.klingai.com/global/dev/document-api/apiReference/updateNotice,official developer docs,API model changes,2026-08-06,very high,yes,Recheck endpoint availability.
S069,MiniMax,Pay-as-you-go Pricing,https://platform.minimax.io/docs/guides/pricing-paygo,official pricing,Text/audio/video rates,2026-08-06,very high,yes,Recheck H3 rates.
S070,MiniMax,MiniMax H3,https://www.minimax.io/blog/minimax-h3,official announcement,Current multimodal model capabilities,2026-08-06,very high,yes,Separate launch claims from independent results.
S071,Z.ai,Pricing,https://docs.z.ai/guides/overview/pricing,official pricing,"GLM, image and video API rates",2026-08-06,very high,yes,Recheck current models.
S072,xAI,Developer Pricing,https://docs.x.ai/developers/pricing,official pricing,API text/image/video rates,2026-08-06,very high,yes,Recheck rates.
S073,xAI,Release Notes,https://docs.x.ai/developers/release-notes,official changelog,Usage cost fields and API changes,2026-08-06,very high,yes,Use to contrast API transparency with earlier consumer experience.
S074,OpenAI,GPT Image 2 Model,https://developers.openai.com/api/docs/models/gpt-image-2,official model docs,Current image API capabilities and pricing links,2026-08-06,very high,yes,OpenAI claims must use official sources.
S075,OpenAI,Projects in ChatGPT,https://help.openai.com/en/articles/10169521-using-projects-in-chatgpt,official product docs,"Project instructions, files and context",2026-08-06,high,yes,Recheck current memory behavior.
S076,OpenAI,API Deprecations,https://developers.openai.com/api/docs/deprecations,official developer docs,Model sunset and migration,2026-08-06,very high,yes,Publication-day check.
S077,Anthropic,Claude Sonnet 5,https://www.anthropic.com/news/claude-sonnet-5,official announcement,Current model launch and vendor evaluations,2026-08-06,very high,yes,Treat benchmark claims as vendor evidence.
S078,Anthropic,Models Overview,https://docs.anthropic.com/en/docs/about-claude/models/overview,official docs,Current models and API context,2026-08-06,very high,yes,Recheck current family.
S079,Meta,Muse Image,https://about.fb.com/news/2026/07/introducing-muse-image-meta-ai/,official announcement,Current consumer image model and Meta product integration,2026-08-06,high,yes,User moderation experience remains first-person.
S080,Recraft,Recraft V4.1,https://www.recraft.ai/docs/recraft-models/recraft-v4-1,official docs/marketing,"Model family, vector variants and per-image costs",2026-08-06,high,yes,Vendor comparison language is not independent evidence.
S081,Recraft,API,https://www.recraft.ai/api,official product page,Direct image/vector API and third-party model gallery,2026-08-06,high,yes,Use for platform/model overlap.
S082,Bria,Pricing,https://bria.ai/pricing,official pricing,"API, self-host and licensed-data positioning",2026-08-06,high,yes,Recheck detailed per-operation rows.
S083,Ideogram,Homepage,https://ideogram.ai/,official product page,Current model/app/API/open model positioning,2026-08-06,very high,yes,Recheck current version.
S084,Ideogram,API Pricing,https://ideogram.ai/api-pricing/,official pricing,Per-image API rates,2026-08-06,very high,yes,Recheck rates.
S085,Stability AI,License,https://stability.ai/license,official legal terms,Community/enterprise self-host rights,2026-08-06,medium,yes,Confirm current revenue threshold and model coverage if mentioned.
S086,Artificial Analysis,Video Methodology,https://artificialanalysis.ai/video/methodology,independent methodology,"Endpoint benchmark boundary, settings and price/speed evaluation",2026-08-06,high,yes,Do not present leaderboard as platform ranking.
S087,VBench,VBench Project,https://vchitect.github.io/VBench-project/,research project,Multi-dimensional video benchmark methodology,2026-08-06,low,no,Stable background.
S088,WorldJen,WorldJen Benchmark,https://arxiv.org/html/2605.03475v2,research paper,"Human disagreement, endpoint reproducibility and statistical tiers",2026-08-06,low,no,Verify final version if revised.
S089,T2VCountBench,Counting Benchmark,https://arxiv.org/abs/2504.04051,research paper,Video models failing exact object counts,2026-08-06,low,no,Use as narrow failure example.
S090,T2VTextBench,Text Control Benchmark,https://arxiv.org/abs/2505.04946,research paper,"Readable, temporally consistent text failures",2026-08-06,low,no,Use as narrow failure example.
S091,FTC,Endorsement Guides FAQ,https://www.ftc.gov/business-guidance/resources/ftcs-endorsement-guides-what-people-are-asking,government guidance,"Material connections, payments, free services and disclosure",2026-08-06,medium,yes,"Legal section should be reviewed as editorial information, not legal advice."
S092,HobFarm,The Invisible Variable,https://hob.farm/articles/invisible-variable/,prior HobFarm article,Interpretation model changes downstream visual result,2026-08-06,medium,yes,Inspect current route/file and link selectively.
S093,HobFarm,"Same Model, Different Surface",https://hob.farm/articles/same-model-different-surface/,prior HobFarm article,Consumer/API surface changes named model behavior,2026-08-06,medium,yes,Direct predecessor.
S094,HobFarm,Building HobFarm: Architecture for Multi-Provider AI,https://hob.farm/articles/hello-world/,prior HobFarm article,Provider routing and thin abstractions,2026-08-06,medium,yes,Confirm title/route in repo.
S095,HobFarm,You Do Not Own the AI You Pay For,https://hob.farm/articles/you-do-not-own-the-ai-you-pay-for/,prior HobFarm article,Hosted model drift and dependence,2026-08-06,medium,yes,Direct predecessor.
S096,HobFarm,The Censor Eats Its Own Tail,https://hob.farm/articles/the-censor-eats-its-own-tail/,prior HobFarm article,Layered moderation and classifier-shaped creative work,2026-08-06,medium,yes,Confirm current route.
S097,Pika,Homepage and first-party video product,https://pika.art/,official product page,"Pika 2.5 product surface, agents and workflow framing",2026-08-06,very high,yes,Recheck current flagship version.
S098,Pika,Consumer pricing,https://pika.art/pricing,official pricing page,"Subscription plans, monthly credits and feature-specific credit costs",2026-08-06,very high,yes,Archive exact table before publication.
S099,Pika,Pika API Club and model catalog,https://pika.art/api,official API product page,Pika as both first-party model provider and multi-model API storefront,2026-08-06,very high,yes,Pair with model and pricing pages.
S100,Pika,API models and pricing,https://dev.pika.art/models,official developer documentation,Current proprietary and third-party API inventory,2026-08-06,very high,yes,Capture count and named examples only as dated facts.
S101,PixVerse,API platform documentation,https://docs.platform.pixverse.ai/,official developer documentation,"API architecture, generation modes and account model",2026-08-06,very high,yes,Recheck changelog.
S102,PixVerse,API pricing,https://docs.platform.pixverse.ai/pricing-796039m0,official pricing documentation,Credit conversion and per-mode costs,2026-08-06,very high,yes,Do not compare consumer and API credits as one pool.
S103,PixVerse,API memberships separate from web membership,https://docs.platform.pixverse.ai/subscribe-api-plans-882969m0,official billing documentation,Web/app and API memberships and credits are separate,2026-08-06,high,yes,Useful surface-separation example.
S104,PixVerse,API changelog,https://docs.platform.pixverse.ai/changelogs-906383m0,official changelog,"Rapid feature and model changes through August 5, 2026",2026-08-06,very high,yes,Archive on publication day.
S105,Vidu,API pricing,https://platform.vidu.com/docs/pricing,official pricing documentation,"Per-second, resolution, mode and off-peak pricing across Vidu models",2026-08-06,very high,yes,Use only selected examples if article needs them.
S106,Hailuo AI,Consumer platform,https://hailuoai.video/,official product page,"Hailuo consumer surface, current H3 promotion and template orientation",2026-08-06,very high,yes,Separate from MiniMax developer API.
S107,Leonardo.Ai,Pricing,https://leonardo.ai/pricing,official pricing page,"Consumer and API pricing patterns, token banks and pay-as-you-go API",2026-08-06,very high,yes,Recheck exact plans.
S108,Leonardo.Ai,Developer API,https://leonardo.ai/api,official API page,Image and video API access and free trial credit,2026-08-06,high,yes,Use as direct-access evidence.
S109,OpenArt,Pricing and current product scope,https://openart.ai/pricing,official pricing page,"100+ model gallery, Director, MCP, characters, stories, credits and concurrency",2026-08-06,very high,yes,Vendor estimates such as approximate output counts are marketing estimates.
